id,fs,sig_len
3608487563,500,5000
2958306479,500,5000
3536504009,500,5000
1209416227,500,5000
2281127990,500,5000
720120134,500,5000
4150465250,500,5000
1154001412,500,5000
2496700414,500,5000
3956089391,500,5000
3703775261,1000,10000
3153824105,1000,10000
3657702924,1000,10000
1397514070,1000,10000
2717465297,1000,10000
622992199,1000,10000
4158447123,1000,10000
1189828070,1000,10000
2801392112,1000,10000
3918873626,1000,10000
3685242994,250,2500
2964699706,250,2500
3429870902,250,2500
1381006600,250,2500
2204097623,250,2500
480839117,250,2500
4153051887,250,2500
1223595426,250,2500
2422967768,250,2500
3871909495,250,2500
3732607929,512,5120
3246341876,512,5120
3543131817,512,5120
1556112478,512,5120
2479159356,512,5120
735667633,512,5120
4182272849,512,5120
1475354244,512,5120
2897718844,512,5120
4006376611,512,5120
4241274306,1025,10250
3174963235,1025,10250
3693876451,1025,10250
1653260624,1025,10250
2617118433,1025,10250
827593346,1025,10250
2794926446,1025,10250
1557988993,1025,10250
2690485796,1025,10250
3944858755,1025,10250
3574065245,256,2560
3088924592,256,2560
3436866334,256,2560
1395556771,256,2560
2469265231,256,2560
740083255,256,2560
4084535424,256,2560
1274262621,256,2560
2596280386,256,2560
3829918836,256,2560
